Customer,HQ Region ,Property,Property Region (When Bid),Property Type,Complexity (1-5),Total Acreage,Address,City,State,Zip,Avg Snowfall (3-Year),SubContractor Price Per Acre,Sidewalk Acreage,SubContractor
Denholtz Properties,East,944 Marcon Blvd,North,Industrial,1,1.43,944 Marcon Blvd,Allentown ,PA,18109,18.3,9748,0.05,Lawn and Land
Denholtz Properties,East,954 Marcon Blvd,North,Industrial,1,1.88,954 Marcon Blvd,Allentown ,PA,18109,18.3,9749,0.03,Lawn and Land
Denholtz Properties,East,964 Marcon Blvd,North,Industrial,1,1.31,964 Marcon Blvd,Allentown ,PA,18109,18.3,9749,0.04,Lawn and Land
Denholtz Properties,East,974 Marcon Blvd,North,Industrial,1,1.12,974 Marcon Blvd,Allentown ,PA,18109,18.3,9752,0.05,Lawn and Land
Goodman Properties,Central,Airport Associates,North,Retail,4,35.82,910 Airport Center Rd,Allentown,PA ,18109,18.3,5277,1.88,Lawn and Land
Goodman Properties,Central,Airport Point,North,Retail,1,0.74,1870 Airport Rd,Allentown,PA ,18109,18.3,8513,0.11,Lawn and Land
Goodman Properties,Central,Skyline Realty Partners LP,Central,Retail,1,2.43,280 West Butler Pike,Chalfont,PA,18914,13.4,4502,0.19,KD
Brixmor Property Group,Central,Village at Newtown ,Central ,Retail,5,14.93,2800 S Eagle Rd,Newtown,PA,18940,10.9,7034,1.83,DeMarco
American Development Co. (ADCO),Central,Quakertown Plaza,Central,Retail,2,15.8,1465 West Broad St,Quakertown,PA,18951,19.1,3481,0.45,KD
Wolfson Group Inc.,Central,Richland Crossings ,Central,Retail,2,29.38,195 North West End Blvd,Quakertown,PA,18951,19.1,3234,1.15,N/A
Grand View Health (GVH),Central,Grand View Hospital & Outpatient Center,Central,Medical,4,15.1,700 & 915 Lawn Ave ,Sellersville ,PA,18960,15.2,6888,0.83,KD
Goodman Properties,Central,511 2nd Street Realty Partners ,Central,Retail,1,0.51,511 2nd Street Pike,Southampton,PA,18966,11.1,21594,0.05,JG
Goodman Properties,Central,Roslyn Associates,Central,Retail,1,3.85,2350 Susquehanna Road,Abington,PA,19001,11,7530,0.27,Hernandez
Cushman & Wakefield,Central,Spring House Innovation Park,Central,Flex,5,23.05,727 Norristown Rd,Lower Gwynedd,PA,19002,11.8,4921,2.8,Carbajal
Goodman Properties,Central,Maverick Main Line,Central,Retail,1,0.96,101 W City Ave,Bala Cynwyd,PA ,19004,9.7,22967,0.16,Phil'z
Goodman Properties,Central,Chesterman,Philly Metro,Retail,1,1.42,1919 W 9th St,Chester,PA,19013,7.4,9273,0.11,Phil'z
"Merion Commercial Realty, Inc.",Philly Metro,Cambridge Square,Philly Metro,Retail,1,4.26,4811 Edgemont Ave,Brookhaven,PA,19015,8.5,8396,0.26,Phil'z
Somerset Properties,Central,1100 Virginia Drive,Central,Office,4,27.66,1100 Virginia Drive,Fort Washington,PA,19034,11.2,3796,1.51,N/A
Wolfson Group Inc.,Central,MacDade Mall,Philly Metro,Retail,1,11.59,2600 MacDade Blvd,Holmes,PA,19043,7.6,4485,0.69,N/A
Goodman Properties,Central,Horsham Realty Partners,Central,Retail,1,6.7,100 Welsh Road,Horsham,PA,19044,11.6,6313,0.7,Greener Turf
Goodman Properties,Central,Welsh Road Partners LLC; Chase Bank  ,Central,Retail,1,0.7,136 Welsh Road,Horsham,PA,19044,11.6,1486,0.12,Greener Turf
Goodman Properties,Central,West Gate Realty Partners LP,Central,Retail,3,8.18,116-120 Welsh Road,Horsham,PA,19044,11.6,6269,0.48,Greener Turf
Heffernan & Partners ,Central,Babylon Business Campus,Central,Flex,3,24.14,903 Sheehy Drive,Horsham,PA,19044,11.6,4557,0.87,Greener Turf
Paramount Realty,West,Noble Town Center,Central,Retail,1,11.15,901 Old York Rd,Jenkintown,PA,19046,11,4483,0.65,N/A
Goodman Properties,Central,Abington Crossing Associates,Central,Retail,1,2.16,2900 Moreland Rd,Willow Grove,PA,19090,11.4,9012,0.21,Hernandez
Goodman Properties,Central,Good Mac Realty Partners LP,Central,Retail,2,17.6,3900 Welsh Road,Willow Grove,PA,19090,11.4,5453,1,Greener Turf
Goodman Properties,Central,NBA Development,Central,Retail,1,0.76,2610 Moreland Rd,Willow Grove,PA,19090,11.4,15205,0.09,Hernandez
Goodman Properties,Central,Regency Square,Central,Retail,1,3.63,1025 Easton Rd,Willow Grove,PA,19090,11.4,7170,0.2,Hernandez
"Merion Commercial Realty, Inc.",Philly Metro,9920 Bustleton,Philly Metro,Retail,1,2.63,9920 Bustleton Ave,Philadelphia,PA,19115,9.4,8759,0.03,JG
"Merion Commercial Realty, Inc.",Philly Metro,Alliance/SONO Condo Assn,Philly Metro,Retail,1,3.29,456 N 5th St,Philadelphia,PA,19123,7.9,18841,0.93,Chapman
Brixmor Property Group,Central,Ivyridge,Philly Metro,Retail,1,4.99,7162 Ridge Ave,Philadelphia,PA,19128,10.2,9011,0.41,Carbajal
Wolfson Group Inc.,Central,Aramingo Crossings,Philly Metro,Retail,2,13.94,3800 Aramingo Ave,Philadelphia,PA,19137,7.5,5021,1.21,N/A
